"app_version","sdk_version","domain","session_count"
"21.13.0.1","4.7.0","media.textnow.com",962
"21.17.0.0","4.7.0","media.textnow.com",972
"21.12.0.0","4.7.0","media.textnow.com",1031
"21.11.0.1","4.7.0","media.textnow.com",1100
"21.28.0.1","4.7.0","media.textnow.com",1103
"21.29.1.1","4.7.0","media.textnow.com",1274
"21.25.0.0","4.7.0","media.textnow.com",1290
"21.22.0.1","4.7.0","media.textnow.com",1294
"21.8.0.1","4.6.5","media.textnow.com",1320
"21.18.0.0","4.7.0","media.textnow.com",1331
"21.20.0.0","4.7.0","media.textnow.com",1489
"21.21.0.1","4.7.0","media.textnow.com",1780
"21.24.1.1","4.7.0","media.textnow.com",1950
"21.27.0.0","4.7.0","media.textnow.com",1998
"21.29.0.1","4.7.0","media.textnow.com",2105
"21.32.0.1","4.7.0","media.textnow.com",3023
"21.37.0.2","4.9.3","media.textnow.com",3024
"21.30.1.0","4.7.0","media.textnow.com",3460
"21.31.0.2","4.7.0","media.textnow.com",3923
"21.47.0.0","4.11.0","media.textnow.com",4120
"21.34.0.0","4.9.3","media.textnow.com",4556
"21.35.0.0","4.9.3","media.textnow.com",5937
"21.39.0.1","4.9.3","media.textnow.com",5961
"21.38.0.1","4.9.3","media.textnow.com",7333
"21.33.0.1","4.7.0","media.textnow.com",7671
"21.36.0.1","4.9.3","media.textnow.com",10649
"21.14.0.0","4.7.0","media.textnow.com",16508
"21.24.1.0","4.7.0","qos.textnow.me",1
"21.37.0.1","4.9.3","qos.textnow.me",3
"21.30.0.0","4.7.0","qos.textnow.me",11
"21.23.0.0","4.7.0","qos.textnow.me",24
"21.15.1.0","4.7.0","qos.textnow.me",25
"21.15.0.2","4.7.0","qos.textnow.me",26
"21.9.1.0","4.6.5","qos.textnow.me",29
"21.5.1.0","4.6.5","qos.textnow.me",29
"21.5.0.0","4.6.5","qos.textnow.me",30
"21.23.1.0","4.7.0","qos.textnow.me",30
"21.9.0.0","4.6.5","qos.textnow.me",30
"21.26.0.0","4.7.0","qos.textnow.me",54
"21.2.0.0","4.6.3","qos.textnow.me",55
"21.19.0.0","4.7.0","qos.textnow.me",66
"21.25.0.0","4.7.0","qos.textnow.me",74
"21.16.0.1","4.7.0","qos.textnow.me",79
"21.28.0.1","4.7.0","qos.textnow.me",95
"21.18.0.0","4.7.0","qos.textnow.me",113
"21.29.1.1","4.7.0","qos.textnow.me",119
"21.20.0.0","4.7.0","qos.textnow.me",123
"21.17.0.0","4.7.0","qos.textnow.me",130
"21.27.0.0","4.7.0","qos.textnow.me",139
"21.37.0.2","4.9.3","qos.textnow.me",144
"21.29.0.1","4.7.0","qos.textnow.me",151
"21.22.0.1","4.7.0","qos.textnow.me",154
"21.24.1.1","4.7.0","qos.textnow.me",170
"21.21.0.1","4.7.0","qos.textnow.me",173
"21.30.1.0","4.7.0","qos.textnow.me",229
"21.32.0.1","4.7.0","qos.textnow.me",234
"21.31.0.2","4.7.0","qos.textnow.me",238
"21.7.0.2","4.6.5","qos.textnow.me",449
"21.39.0.1","4.9.3","qos.textnow.me",472
"21.34.0.0","4.9.3","qos.textnow.me",502
"21.38.0.1","4.9.3","qos.textnow.me",514
"21.9.2.0","4.6.5","qos.textnow.me",520
"21.35.0.0","4.9.3","qos.textnow.me",535
"21.6.0.1","4.6.5","qos.textnow.me",732
"21.13.0.1","4.7.0","qos.textnow.me",775
"21.33.0.1","4.7.0","qos.textnow.me",791
"21.4.1.0","4.6.5-SNAPSHOT","qos.textnow.me",794
"21.12.0.0","4.7.0","qos.textnow.me",823
"21.10.0.1","4.7.0","qos.textnow.me",911
"21.36.0.1","4.9.3","qos.textnow.me",979
"21.14.0.0","4.7.0","qos.textnow.me",1002
"21.11.0.1","4.7.0","qos.textnow.me",1108
"21.8.0.1","4.6.5","qos.textnow.me",1632
"21.15.0.1","4.7.0","rpc.textnow.me",3
"21.24.1.0","4.7.0","rpc.textnow.me",10
"21.22.0.0","4.7.0","rpc.textnow.me",17
"21.32.0.0","4.7.0","rpc.textnow.me",23
"21.36.0.0","4.9.3","rpc.textnow.me",35
"21.37.0.0","4.9.3","rpc.textnow.me",39
"21.5.0.0","4.6.5","rpc.textnow.me",41
"21.9.0.0","4.6.5","rpc.textnow.me",46
"21.5.1.0","4.6.5","rpc.textnow.me",49
"21.9.1.0","4.6.5","rpc.textnow.me",62
"21.30.0.0","4.7.0","rpc.textnow.me",94
"21.2.0.0","4.6.3","rpc.textnow.me",130
"21.37.0.1","4.9.3","rpc.textnow.me",205
"21.15.1.0","4.7.0","rpc.textnow.me",601
"21.15.0.2","4.7.0","rpc.textnow.me",688
"21.23.0.0","4.7.0","rpc.textnow.me",793
"21.23.1.0","4.7.0","rpc.textnow.me",853
"21.7.0.2","4.6.5","rpc.textnow.me",868
"21.9.2.0","4.6.5","rpc.textnow.me",1125
"21.16.0.1","4.7.0","rpc.textnow.me",1165
"21.19.0.0","4.7.0","rpc.textnow.me",1257
"21.6.0.1","4.6.5","rpc.textnow.me",1394
"21.12.0.0","4.7.0","rpc.textnow.me",1486
"21.26.0.0","4.7.0","rpc.textnow.me",1545
"21.13.0.1","4.7.0","rpc.textnow.me",1587
"21.4.1.0","4.6.5-SNAPSHOT","rpc.textnow.me",1777
"21.22.0.1","4.7.0","rpc.textnow.me",1862
"21.10.0.1","4.7.0","rpc.textnow.me",1880
"21.17.0.0","4.7.0","rpc.textnow.me",2414
"21.18.0.0","4.7.0","rpc.textnow.me",2452
"21.11.0.1","4.7.0","rpc.textnow.me",2545
"21.21.0.1","4.7.0","rpc.textnow.me",2929
"21.8.0.1","4.6.5","rpc.textnow.me",3421
"21.20.0.0","4.7.0","rpc.textnow.me",3633
"21.28.0.1","4.7.0","rpc.textnow.me",3826
"21.29.1.1","4.7.0","rpc.textnow.me",3914
"21.27.0.0","4.7.0","rpc.textnow.me",4527
"21.24.1.1","4.7.0","rpc.textnow.me",4698
"21.25.0.0","4.7.0","rpc.textnow.me",4702
"21.29.0.1","4.7.0","rpc.textnow.me",7531
"21.32.0.1","4.7.0","rpc.textnow.me",10516
"21.30.1.0","4.7.0","rpc.textnow.me",10557
"21.31.0.2","4.7.0","rpc.textnow.me",11664
"21.35.0.0","4.9.3","rpc.textnow.me",19635
"21.37.0.2","4.9.3","rpc.textnow.me",20820
"21.34.0.0","4.9.3","rpc.textnow.me",20941
"21.33.0.1","4.7.0","rpc.textnow.me",24313
"21.36.0.1","4.9.3","rpc.textnow.me",31365
"21.14.0.0","4.7.0","rpc.textnow.me",39261
"21.39.0.1","4.9.3","rpc.textnow.me",43991
"21.38.0.1","4.9.3","rpc.textnow.me",285312
"21.24.1.0","4.7.0","static.textnow.com",1
"21.22.0.0","4.7.0","static.textnow.com",1
"22.1.0.0","4.11.0","static.textnow.com",3
"21.49.0.0","4.11.0","static.textnow.com",4
"21.9.0.0","4.6.5","static.textnow.com",7
"21.36.0.0","4.9.3","static.textnow.com",8
"21.32.0.0","4.7.0","static.textnow.com",8
"21.5.1.0","4.6.5","static.textnow.com",9
"21.30.0.0","4.7.0","static.textnow.com",9
"21.2.0.0","4.6.3","static.textnow.com",11
"21.40.0.1","4.11.0","static.textnow.com",14
"21.9.1.0","4.6.5","static.textnow.com",15
"21.37.0.1","4.9.3","static.textnow.com",44
"21.15.1.0","4.7.0","static.textnow.com",54
"21.43.0.1","4.11.0","static.textnow.com",57
"21.44.0.0","4.11.0","static.textnow.com",82
"21.23.0.0","4.7.0","static.textnow.com",86
"21.7.0.2","4.6.5","static.textnow.com",99
"21.15.0.2","4.7.0","static.textnow.com",99
"21.42.0.0","4.11.0","static.textnow.com",107
"21.23.1.0","4.7.0","static.textnow.com",108
"21.19.0.0","4.7.0","static.textnow.com",111
"21.9.2.0","4.6.5","static.textnow.com",134
"21.4.1.0","4.6.5-SNAPSHOT","static.textnow.com",141
"21.16.0.1","4.7.0","static.textnow.com",150
"21.6.0.1","4.6.5","static.textnow.com",153
"21.26.0.0","4.7.0","static.textnow.com",170
"21.41.0.1","4.11.0","static.textnow.com",171
"21.44.1.0","4.11.0","static.textnow.com",209
"21.18.0.0","4.7.0","static.textnow.com",220
"21.12.0.0","4.7.0","static.textnow.com",234
"21.13.0.1","4.7.0","static.textnow.com",237
"21.22.0.1","4.7.0","static.textnow.com",252
"21.17.0.0","4.7.0","static.textnow.com",302
"21.10.0.1","4.7.0","static.textnow.com",310
"21.28.0.1","4.7.0","static.textnow.com",382
"21.21.0.1","4.7.0","static.textnow.com",394
"21.11.0.1","4.7.0","static.textnow.com",414
"21.24.1.1","4.7.0","static.textnow.com",453
"21.20.0.0","4.7.0","static.textnow.com",485
"21.27.0.0","4.7.0","static.textnow.com",487
"21.8.0.1","4.6.5","static.textnow.com",492
"21.25.0.0","4.7.0","static.textnow.com",565
"21.29.1.1","4.7.0","static.textnow.com",885
"21.29.0.1","4.7.0","static.textnow.com",1935
"21.47.0.0","4.11.0","static.textnow.com",2046
"21.32.0.1","4.7.0","static.textnow.com",2850
"21.31.0.2","4.7.0","static.textnow.com",3008
"21.30.1.0","4.7.0","static.textnow.com",3190
"21.35.0.0","4.9.3","static.textnow.com",4911
"21.36.0.1","4.9.3","static.textnow.com",6412
"21.33.0.1","4.7.0","static.textnow.com",7181
"21.34.0.0","4.9.3","static.textnow.com",8557
"21.14.0.0","4.7.0","static.textnow.com",12236
"21.37.0.2","4.9.3","static.textnow.com",14719
"21.39.0.1","4.9.3","static.textnow.com",22138
"21.38.0.1","4.9.3","static.textnow.com",245030
